"filename", "language", "JSON", "TypeScript JSX", "Markdown", "CSS", "TypeScript", "JSON with Comments", "MS SQL", "JavaScript", "Shell Script", "YAML", "XML", "comment", "blank", "total"
"d:\Persist Ventures\GoViral\components\ui\avatar.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"d:\Persist Ventures\GoViral\components\ui\badge.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"d:\Persist Ventures\GoViral\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 116
"d:\Persist Ventures\GoViral\components\ui\button.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"d:\Persist Ventures\GoViral\components\ui\calendar.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 67
"d:\Persist Ventures\GoViral\components\ui\card.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"d:\Persist Ventures\GoViral\components\ui\carousel.tsx", "TypeScript JSX", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 263
"d:\Persist Ventures\GoViral\components\ui\chart.tsx", "TypeScript JSX", 0, 327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 366
"d:\Persist Ventures\GoViral\components\ui\checkbox.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\Persist Ventures\GoViral\components\ui\collapsible.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
"d:\Persist Ventures\GoViral\components\ui\command.tsx", "TypeScript JSX", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 154
"d:\Persist Ventures\GoViral\components\ui\context-menu.tsx", "TypeScript JSX", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 201
"d:\Persist Ventures\GoViral\components\ui\dialog.tsx", "TypeScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 123
"d:\Persist Ventures\GoViral\components\ui\drawer.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 119
"d:\Persist Ventures\GoViral\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 201
"d:\Persist Ventures\GoViral\components\ui\form.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 179
"d:\Persist Ventures\GoViral\components\ui\hover-card.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"d:\Persist Ventures\GoViral\components\ui\input-otp.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"d:\Persist Ventures\GoViral\components\ui\input.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Persist Ventures\GoViral\components\ui\label.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Persist Ventures\GoViral\components\ui\menubar.tsx", "TypeScript JSX", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 237
"d:\Persist Ventures\GoViral\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 129
"d:\Persist Ventures\GoViral\components\ui\pagination.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 118
"d:\Persist Ventures\GoViral\components\ui\popover.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\Persist Ventures\GoViral\components\ui\progress.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\Persist Ventures\GoViral\components\ui\radio-group.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"d:\Persist Ventures\GoViral\components\ui\resizable.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"d:\Persist Ventures\GoViral\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"d:\Persist Ventures\GoViral\components\ui\select.tsx", "TypeScript JSX", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 161
"d:\Persist Ventures\GoViral\components\ui\separator.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Persist Ventures\GoViral\components\ui\sheet.tsx", "TypeScript JSX", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 141
"d:\Persist Ventures\GoViral\components\ui\sidebar.tsx", "TypeScript JSX", 0, 709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 55, 776
"d:\Persist Ventures\GoViral\components\ui\skeleton.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Persist Ventures\GoViral\components\ui\slider.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\Persist Ventures\GoViral\components\ui\sonner.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\Persist Ventures\GoViral\components\ui\switch.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\Persist Ventures\GoViral\components\ui\table.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 118
